;Реестр оценки эффективности деятельности   государственных учреждений Свердловской области, подведомственных Министерству общего и профессионального образования Свердловской области, в  2018 году;;;;
;;;;;
;;;;;
Код ПБС;Наименование ПБС;Баллы;Максимальное количество баллов; Итоговый балл ;Уровень эффективности
012048;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Камышловский гуманитарно-технологический техникум»;86,00;100,00; 86,0   ;Среднеэффективное
012049;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Камышловский педагогический колледж»;90,00;100,00; 90,0   ;Высокоэффективное
012050;Государственное автономное профессиональное образовательное учреждение Свердловской области «Камышловский техникум промышленности и транспорта»;94,00;100,00; 94,0   ;Высокоэффективное
012051;Государственное автономное профессиональное образовательное учреждение Свердловской области «Карпинский машиностроительный техникум»;85,00;100,00; 85,0   ;Среднеэффективное
012052;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Качканарский горно-промышленный колледж»;76,00;100,00; 76,0   ;Среднеэффективное
012053;Государственное автономное профессиональное образовательное учреждение Свердловской области «Кировградский техникум промышленности, торговли и сервиса»;83,00;100,00; 83,0   ;Среднеэффективное
012054;Государственное автономное профессиональное образовательное учреждение Свердловской области «Колледж управления и сервиса «Стиль» ;90,00;100,00; 90,0   ;Высокоэффективное
012055;Государственное автономное профессиональное образовательное учреждение Свердловской области «Краснотурьинский индустриальный колледж»;93,00;100,00; 93,0   ;Высокоэффективное
012056;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Краснотурьинский политехникум»;95,00;100,00; 95,0   ;Высокоэффективное
012057;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Красноуральский многопрофильный техникум"" ";91,00;100,00; 91,0   ;Высокоэффективное
012058;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Красноуфимский аграрный колледж»;80,00;100,00; 80,0   ;Среднеэффективное
012059;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Красноуфимский педагогический колледж»;81,00;100,00; 81,0   ;Среднеэффективное
012060;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Красноуфимский многопрофильный техникум» ;80,00;100,00; 80,0   ;Среднеэффективное
012063;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский политехнический колледж»;88,00;100,00; 88,0   ;Среднеэффективное
012064;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский агропромышленный техникум»;91,00;100,00; 91,0   ;Высокоэффективное
012065;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский радиотехнический техникум»;85,00;100,00; 85,0   ;Среднеэффективное
012066;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский педагогический колледж»;84,00;100,00; 84,0   ;Среднеэффективное
012067;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский техникум металлургии и машиностроения»;72,00;100,00; 72,0   ;Среднеэффективное
012068;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский  техникум торговли и сервиса»;85,00;100,00; 85,0   ;Среднеэффективное
012071;Государственное автономное профессиональное образовательное учреждение Свердловской области «Полипрофильный техникум им О.В. Терёшкина»;77,00;100,00; 77,0   ;Среднеэффективное
012072;Государственное бюджетное общеобразовательное учреждение Свердловской области «Кадетская школа-интернат «Екатеринбургский кадетский корпус войск национальной гвардии Российской Федерации»;95,00;100,00; 95,0   ;Высокоэффективное
012075;Государственное автономное профессиональное образовательное учреждение Свердловской области «Новоуральский технологический колледж»;82,00;100,00; 82,0   ;Среднеэффективное
012077;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский горно-металлургический колледж имени Е.А. и М.Е. Черепановых»;88,00;100,00; 88,0   ;Среднеэффективное
012078;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Нижнетагильский железнодорожный техникум»;94,00;100,00; 94,0   ;Высокоэффективное
012080;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Нижнетагильский педагогический колледж № 1»;99,00;100,00; 99,0   ;Высокоэффективное
012081;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Нижнетагильский педагогический колледж № 2»;97,00;100,00; 97,0   ;Высокоэффективное
