Рейтинг эффективности деятельности государственных учреждений Свердловской области, подведомственных Министерству образования и молодежной политики Свердловской области, за 2020 год;;;;;;
;;;;;;
Номер строки;Код ПБС;Наименование ПБС;Баллы;Максимальное количество баллов;Итоговый балл;Уровень эффективности
172.;012006;Государственное автономное профессиональное образовательное учреждение Свердловской области «Алапаевский профессионально-педагогический колледж»;113,00;160,00;70,63;Среднеэффективное
173.;012170;Государственное бюджетное общеобразовательное учреждение Свердловской области «Верхнесалдинская школа, реализующая адаптированные основные общеобразовательные программы»;113,00;160,00;70,63;Среднеэффективное
174.;012201;Государственное бюджетное общеобразовательное учреждение Свердловской области «Михайловская школа-интернат, реализующая адаптированные основные общеобразовательные программы» ;113,00;160,00;70,63;Среднеэффективное
175.;012198;Государственное бюджетное общеобразовательное учреждение Свердловской области «Красноуфимская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;113,00;160,00;70,63;Среднеэффективное
176.;012215;Государственное бюджетное общеобразовательное учреждение Свердловской области «Туринская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;112,00;160,00;70,00;Среднеэффективное
177.;012230;Государственное казенное общеобразовательное учреждение Свердловской области «Новолялинская вечерняя школа»;91,00;130,00;70,00;Среднеэффективное
178.;012180;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа №9, реализующая адаптированные основные общеобразовательные программы»;111,00;160,00;69,38;Среднеэффективное
179.;012220;Государственное бюджетное общеобразовательное учреждение Свердловской области «Серовская школа-интернат для детей, нуждающихся в длительном лечении» ;112,00;164,00;68,29;Среднеэффективное
180.;012213;Государственное бюджетное общеобразовательное учреждение Свердловской области «Серовская школа № 2, реализующая адаптированные основные общеобразовательные программы»;111,00;164,00;67,68;Среднеэффективное
181.;012211;Государственное бюджетное общеобразовательное учреждение Свердловской области «Североуральская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;108,00;160,00;67,50;Среднеэффективное
182.;012182;"Государственное бюджетное общеобразовательное учреждение Свердловской области ""Екатеринбургская школа-интернат № 11, реализующая адаптированные основные общеобразовательные программы""";110,00;164,00;67,07;Среднеэффективное
183.;012071;Государственное автономное профессиональное образовательное учреждение Свердловской области «Полипрофильный техникум им О.В. Терёшкина»;105,00;160,00;65,63;Среднеэффективное
184.;012067;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский техникум металлургии и машиностроения»;103,00;160,00;64,38;Среднеэффективное
185.;012209;Государственное бюджетное общеобразовательное учреждение Свердловской области «Полевская школа, реализующая адаптированные основные общеобразовательные программы»;100,00;160,00;62,50;Среднеэффективное
186.;012025;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнесинячихинский агропромышленный техникум» ;99,00;160,00;61,88;Среднеэффективное
187.;012114;Государственное автономное профессиональное образовательное учреждение Свердловской области «Свердловский областной музыкально-эстетический педагогический колледж»;93,00;160,00;58,13;Низкоэффективное
